company_name,product_page_title,product_url,source_workbook,source_row,access_date,status
恒生电子,恒生电子,https://www.hundsun.com/,产品页链接汇总.xlsx,2,2026-08-13,user_provided_link
同花顺,同花顺智能科技,https://www.thsyun.com/#/service/CustomerServiceBot,产品页链接汇总.xlsx,3,2026-08-13,user_provided_link
东方财富,产品业务_东方财富网,https://about.eastmoney.com/about/product,产品页链接汇总.xlsx,4,2026-08-13,user_provided_link
金证股份,金证股份--国内领军的金融科技全领域服务商,https://www.szkingdom.com/product/31,产品页链接汇总.xlsx,5,2026-08-13,user_provided_link
赢时胜,http://www.ysstech.com/solutions/financial-tech,http://www.ysstech.com/solutions/financial-tech,产品页链接汇总.xlsx,6,2026-08-13,user_provided_link
宇信科技,宇信科技-中国银行业IT解决方案市场中领军企业之一,https://www.yusys.com.cn/,产品页链接汇总.xlsx,7,2026-08-13,user_provided_link
神州信息,产品与解决方案 - 神州信息官网-成为领先的金融数智化转型合作伙伴,https://www.dcits.com/product-and-solution/,产品页链接汇总.xlsx,8,2026-08-13,user_provided_link
长亮科技,产品服务,https://www.sunline.cn/products.html,产品页链接汇总.xlsx,9,2026-08-13,user_provided_link
天阳科技,金融科技产品-天阳科技,https://www.tansun.com.cn/product/222,产品页链接汇总.xlsx,10,2026-08-13,user_provided_link
科蓝软件,北京科蓝软件系统股份有限公司,https://www.csii.com.cn/proSolu.html,产品页链接汇总.xlsx,11,2026-08-13,user_provided_link
京北方,京北方,https://www.northking.net/page/cp/cp-3.html,产品页链接汇总.xlsx,12,2026-08-13,user_provided_link
中科软,财产保险_中科软科技,https://www.sinosoft.com.cn/customer/ccbx/,产品页链接汇总.xlsx,13,2026-08-13,user_provided_link
新致软件,https://www.newtouch.com/#/solution?id=0,https://www.newtouch.com/,产品页链接汇总.xlsx,14,2026-08-13,user_provided_link
科大讯飞,http://fintech.iflytek.com/solution/18.html,http://fintech.iflytek.com/solution/18.html,产品页链接汇总.xlsx,15,2026-08-13,user_provided_link
拓尔思,https://www.trs.com.cn/,https://www.trs.com.cn/,产品页链接汇总.xlsx,16,2026-08-13,user_provided_link
