job_id,company_name,job_title,salary_raw,disclosure_status,pay_period,rmb_min,rmb_max,salary_months,parse_note
JOB_0001,恒生电子,数据开发工程师,15-25K,numeric_disclosed,month,15000.0,25000.0,,
JOB_0002,恒生电子,智能体开发工程师-研究院,30-40K,numeric_disclosed,month,30000.0,40000.0,,
JOB_0003,恒生电子,高级C++开发工程师,30-50K,numeric_disclosed,month,30000.0,50000.0,,
JOB_0004,恒生电子,C++开发工程师-经纪业务,20-30K·14薪,numeric_disclosed,month,20000.0,30000.0,14.0,
JOB_0005,恒生电子,Java技术专家-资产管理,20-35K,numeric_disclosed,month,20000.0,35000.0,,
JOB_0006,恒生电子,C++开发工程师-经纪业务,20-30K,numeric_disclosed,month,20000.0,30000.0,,
JOB_0007,恒生电子,C++开发工程师-经纪业务,20-30K,numeric_disclosed,month,20000.0,30000.0,,
JOB_0008,恒生电子,Java开发工程师-机构服务,20-30K,numeric_disclosed,month,20000.0,30000.0,,
JOB_0009,恒生电子,C++开发工程师-经纪业务,20-30K·15薪,numeric_disclosed,month,20000.0,30000.0,15.0,
JOB_0010,恒生电子,模型后训练技术负责人（团队负责人）,50-80K,numeric_disclosed,month,50000.0,80000.0,,
JOB_0011,恒生电子,C++开发工程师-经纪业务,18-30K,numeric_disclosed,month,18000.0,30000.0,,
JOB_0012,同花顺,NLP大模型算法专家（总部岗位）,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0013,同花顺,算法博士（NLP/CV/语音/博士专项）,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0014,同花顺,大模型算法工程师-AIME计划,50-80K·15薪,numeric_disclosed,month,50000.0,80000.0,15.0,
JOB_0015,同花顺,大模型推理加速专家,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0016,同花顺,C++开发专家,35-50K·15薪,numeric_disclosed,month,35000.0,50000.0,15.0,
JOB_0017,同花顺,数据录入,5-7K·14薪,numeric_disclosed,month,5000.0,7000.0,14.0,
JOB_0018,同花顺,AI agent开发（base总部）,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0019,同花顺,大模型算法工程师（大模型Agent方向）,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0020,同花顺,实习算法工程师【博士专项】,500-600元/天,numeric_disclosed,day,500.0,600.0,,
JOB_0021,同花顺,推广推荐算法工程师,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0022,同花顺,量化研究员,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0023,同花顺,多模态算法工程师,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0024,同花顺,数据分析,15-20K·15薪,numeric_disclosed,month,15000.0,20000.0,15.0,
JOB_0025,同花顺,测试开发工程师,12-16K·15薪,numeric_disclosed,month,12000.0,16000.0,15.0,
JOB_0026,同花顺,技术负责人（AIGC出海业务技术）,50-70K·15薪,numeric_disclosed,month,50000.0,70000.0,15.0,
JOB_0027,同花顺,AIME人才计划算法工程师,50-80K,numeric_disclosed,month,50000.0,80000.0,,
JOB_0028,同花顺,大模型算法工程师,50-75K·15薪,numeric_disclosed,month,50000.0,75000.0,15.0,
JOB_0029,同花顺,AI Agent 工程师 / 全栈,20-40K·15薪,numeric_disclosed,month,20000.0,40000.0,15.0,
JOB_0030,同花顺,ACM专项岗位—AI工程师,30-40K,numeric_disclosed,month,30000.0,40000.0,,
JOB_0031,同花顺,推理加速专家/主管,70-100K·16薪,numeric_disclosed,month,70000.0,100000.0,16.0,
JOB_0032,同花顺,golang高级开发工程师,28-45K·15薪,numeric_disclosed,month,28000.0,45000.0,15.0,
JOB_0033,同花顺,ACM专项招聘,30-60K,numeric_disclosed,month,30000.0,60000.0,,
