company_code,company_name,segment,screenshot_count,total_pixels,screenshot_status
600570.SH,恒生电子,证券与资管科技,0,,未提供截图
300033.SZ,同花顺,证券与资管科技,0,,未提供截图
300059.SZ,东方财富,证券与资管科技,0,,未提供截图
600446.SH,金证股份,证券与资管科技,0,,未提供截图
300377.SZ,赢时胜,证券与资管科技,0,,未提供截图
300674.SZ,宇信科技,银行科技,0,,未提供截图
000555.SZ,神州信息,银行科技,0,,未提供截图
300348.SZ,长亮科技,银行科技,0,,未提供截图
300872.SZ,天阳科技,银行科技,5,54490746.0,已导入原始截图
300663.SZ,科蓝软件,银行科技,1,9528324.0,已导入原始截图
002987.SZ,京北方,银行与保险科技,17,322214852.0,已导入原始截图
603927.SH,中科软,保险科技,14,85221216.0,已导入原始截图
688590.SH,新致软件,保险科技,0,,未提供截图
002230.SZ,科大讯飞,泛金融AI底座,0,,未提供截图
300229.SZ,拓尔思,泛金融AI底座,0,,未提供截图
