company_code,company_name,segment,source_file,paragraph_count,snapshot_status
600570.SH,恒生电子,证券与资管科技,1-4 产品文字版.docx,30.0,已导入文字快照
300033.SZ,同花顺,证券与资管科技,1-4 产品文字版.docx,233.0,已导入文字快照
300059.SZ,东方财富,证券与资管科技,1-4 产品文字版.docx,18.0,已导入文字快照
600446.SH,金证股份,证券与资管科技,1-4 产品文字版.docx,70.0,已导入文字快照
300377.SZ,赢时胜,证券与资管科技,5-8产品全部.docx,26.0,已导入文字快照
300674.SZ,宇信科技,银行科技,5-8产品全部.docx,126.0,已导入文字快照
000555.SZ,神州信息,银行科技,5-8产品全部.docx,183.0,已导入文字快照
300348.SZ,长亮科技,银行科技,5-8产品全部.docx,23.0,已导入文字快照
300872.SZ,天阳科技,银行科技,,,本次未提供可导入文字快照
300663.SZ,科蓝软件,银行科技,,,本次未提供可导入文字快照
002987.SZ,京北方,银行与保险科技,,,本次未提供可导入文字快照
603927.SH,中科软,保险科技,,,本次未提供可导入文字快照
688590.SH,新致软件,保险科技,13-15产品.docx,24.0,已导入文字快照
002230.SZ,科大讯飞,泛金融AI底座,13-15产品.docx,239.0,已导入文字快照
300229.SZ,拓尔思,泛金融AI底座,13-15产品.docx,142.0,已导入文字快照
