prompt_version,field,n,accuracy,hallucination_rate,mean_runtime_seconds
P1,job_title,43,0.9535,0.0,3.119
P1,salary_range,43,0.9767,0.0,3.119
P1,work_location,43,1.0,0.0,3.119
P1,hard_skills,43,0.0233,0.0,3.119
P1,soft_skills,43,0.186,0.3721,3.119
P1,education,43,0.7907,0.0,3.119
P1,experience,43,0.5116,0.0,3.119
P1,ai_tech_stack,43,0.5814,0.0,3.119
P2,job_title,43,0.9767,0.0,4.846
P2,salary_range,43,0.9767,0.0,4.846
P2,work_location,43,1.0,0.0,4.846
P2,hard_skills,43,0.0233,0.0,4.846
P2,soft_skills,43,0.1628,0.3953,4.846
P2,education,43,0.8372,0.0,4.846
P2,experience,43,0.6512,0.0,4.846
P2,ai_tech_stack,43,0.5581,0.0,4.846
P3,job_title,43,1.0,0.0,2.986
P3,salary_range,43,1.0,0.0,2.986
P3,work_location,43,1.0,0.0,2.986
P3,hard_skills,43,0.0233,0.0,2.986
P3,soft_skills,43,0.1628,0.3953,2.986
P3,education,43,0.907,0.0,2.986
P3,experience,43,0.7209,0.0,2.986
P3,ai_tech_stack,43,0.5814,0.0,2.986
