education_group,job_records
本科,81
硕士,44
博士,14
本科及以上,14
本科及以上学历，计算机相关专业,6
学历不限,3
硕士及以上,3
1、全日制本科或研究生以上学历，2027届计算机、金融或财务相关专业毕业生；,3
计算机科学、软件工程等相关理工类专业，本科及以上学历,3
统招本科及以上学历，计算机相关专业,2
大专及以上,2
具备良好的逻辑思维、数据分析能力，团队协作意识强，学习能力强，有责任心,2
1、全日制本科及以上学历，2027届计算机应用、金融、财务相关专业毕业生；,2
本科，计算机专业,2
本科及以上学历，信息技术类、数学、统计学、计量经济学类专业,2
全日制本科及以上学历，计算机或相关专业,2
全日制本科（985/211）及以上学历，金融、经济学、统计学、财务、计算机相关专业，拥有高级职称者优先,2
本科（一本）及以上学历（硕士研究生及以上学历优先），计算机相关专业,1
本科及以上，金融、计算机等相关专业优先,1
本科（学信网可查）,1
本科，学信网可查,1
本科，计算机 / 软件工程相关专业,1
本科及以上，设计类专业,1
本科及以上，计算机理工科专业,1
本科及以上，计算机、数学相关专业,1
硕士及以上，原则上要求本科为国内双一流院校,1
本科，财务 / 会计类相关专业优先,1
本科及以上，国内外双一流大学及以上学历，硕士优先,1
硕士及以上，原则上要求本科为国内双一流院校；2026 届应届生优先,1
硕士及以上，本科为国内双一流院校者优先,1
统招 211 知名高校本科及以上学历，计算机软件相关专业,1
统招二本及以上，学信网可查,1
统招本科及以上，学信网可查,1
统招本科及以上，硕士优先,1
统招本科及以上，计算机相关专业优先,1
计算机相关专业本科及以上学历,1
逻辑思维能力强，具备良好的沟通表达、团队协作能力，主动学习能力强，有责任心,1
逻辑思维能力强，具备良好的沟通表达能力、团队协作能力，主动学习能力强，有责任心,1
逻辑思维能力强，具备良好的问题解决能力，团队协作意识强，学习能力强,1
逻辑思维能力强，具备良好的问题解决能力，团队协作意识强，有良好的学习能力和责任心,1
本科及以上，学信网可查,1
本科及以上学历，市场营销、工商管理、计算机等相关专业优先,1
本科及以上，优先硕士；数学金融、金融工程相关专业,1
本科及以上（能力突出可放宽）,1
985/211院校毕业，计算机、数学、统计、金融、经济等相关专业,1
一本及以上相关学历，计算机相关专业,1
全日制大学本科及以上,1
全日制大学本科相关专业毕业或同等学历,1
全日制本科(985/211)以上学历，金融、经济、统计、数学等相关专业,1
全日制本科及以上学历，学信网可查,1
全日制本科及以上学历，设计学、心理学相关专业,1
全日制本科或以上学历，金融、经济、电子商务、工商管理、国贸等专业,1
全日制本科毕业，计算机或者理工科及相关专业，学信网可查,1
全日制统招本科及以上学历,1
具备优秀的沟通表达、人际交往能力，抗压能力强，有责任心和团队协作精神，具备敏锐的市场洞察力,1
具备优秀的逻辑思维、数据分析能力，良好的沟通表达、文档撰写能力，团队协作意识强，有较强的学习能力,1
具备优秀的逻辑思维、文档撰写能力，良好的沟通表达能力，团队协作意识强，学习能力强,1
国内985/211大学或者海外QS排名100以内的著名大学的经济学、金融学、统计学相关本科及以上学历,1
大专,1
大学本科（含）以上学历,1
学历要求：全日制本科（985/211），金融、经济学、统计学、财务、计算机相关专业本科及以上学历，拥有高级职称者优先。,1
未披露,1
未明确公示，参考同体系初级岗位要求：统招 211 本科及以上学历，计算机相关专业,1
未明确限定，参考同体系岗位要求：本科及以上学历,1
未明确限定，参考同体系岗位要求：本科及以上学历，计算机 / 金融相关专业优先,1
未明确限定，参考同体系岗位要求：本科及以上学历，计算机相关专业优先,1
本科及以上在读,1
本科及以上学历,1
本科及以上学历，市场营销、媒体传播等相关专业毕业优先,1
本科及以上学历，计算机、数学或金融学专业优先,1
本科及以上学历，设计类相关专业优先,1
高中,1
