keyword,job_records,share_of_cleaned_records,definition
金融,106,0.438,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
Java,76,0.314,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
SQL,75,0.3099,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
大模型,74,0.3058,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
算法,56,0.2314,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
Python,47,0.1942,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
C++,43,0.1777,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
Linux,35,0.1446,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
测试,35,0.1446,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
风控,29,0.1198,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
RAG,23,0.095,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
数据分析,23,0.095,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
微服务,20,0.0826,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
深度学习,18,0.0744,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
智能体,15,0.062,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
机器学习,10,0.0413,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
NLP,6,0.0248,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
云原生,5,0.0207,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
知识图谱,2,0.0083,职位名称、技能要求、学历/经验或AI技术栈原文中的字面匹配；同一职位对同一关键词至多计一次。
