episode,simulated_reward,rolling_mean_reward_200
1,0.25,0.25
2,0.25,0.25
3,0.25,0.25
4,0.0,0.1875
5,0.25,0.2
6,0.0,0.16666666666666666
7,0.0,0.14285714285714285
8,0.25,0.15625
9,0.25,0.16666666666666666
10,0.25,0.175
11,0.25,0.18181818181818182
12,0.25,0.1875
13,0.25,0.19230769230769232
14,0.25,0.19642857142857142
15,0.25,0.2
16,0.25,0.203125
17,0.25,0.20588235294117646
18,0.25,0.20833333333333334
19,0.25,0.21052631578947367
20,0.125,0.20625
21,0.0,0.19642857142857142
22,0.25,0.19886363636363635
23,0.125,0.1956521739130435
24,0.125,0.19270833333333334
25,0.25,0.195
26,0.125,0.19230769230769232
27,0.25,0.19444444444444445
28,0.0,0.1875
29,0.25,0.1896551724137931
30,0.25,0.19166666666666668
31,0.25,0.1935483870967742
32,0.125,0.19140625
33,0.25,0.19318181818181818
34,0.25,0.1948529411764706
35,0.25,0.19642857142857142
36,0.25,0.19791666666666666
37,0.0,0.19256756756756757
38,0.25,0.19407894736842105
39,0.0,0.1891025641025641
40,0.25,0.190625
41,0.25,0.19207317073170732
42,0.125,0.19047619047619047
43,0.125,0.18895348837209303
44,0.25,0.1903409090909091
45,0.25,0.19166666666666668
46,0.25,0.19293478260869565
47,0.25,0.19414893617021275
48,0.25,0.1953125
49,0.25,0.19642857142857142
50,0.25,0.1975
51,0.25,0.19852941176470587
52,0.25,0.19951923076923078
53,0.25,0.20047169811320756
54,0.25,0.2013888888888889
55,0.0,0.19772727272727272
56,0.0,0.19419642857142858
57,0.125,0.19298245614035087
58,0.0,0.1896551724137931
59,0.125,0.1885593220338983
60,0.25,0.18958333333333333
61,0.25,0.19057377049180327
62,0.0,0.1875
63,0.0,0.18452380952380953
64,0.25,0.185546875
65,0.375,0.18846153846153846
66,0.25,0.1893939393939394
67,0.0,0.1865671641791045
68,0.25,0.1875
69,0.25,0.18840579710144928
70,0.25,0.18928571428571428
71,0.0,0.18661971830985916
72,0.0,0.1840277777777778
73,0.25,0.18493150684931506
74,0.375,0.1875
75,0.25,0.18833333333333332
76,0.25,0.18914473684210525
77,0.25,0.18993506493506493
78,0.25,0.1907051282051282
79,0.25,0.19145569620253164
80,0.25,0.1921875
81,0.25,0.19290123456790123
82,0.25,0.19359756097560976
83,0.0,0.19126506024096385
84,0.25,0.19196428571428573
85,0.375,0.19411764705882353
86,0.125,0.1933139534883721
87,0.375,0.19540229885057472
88,0.25,0.19602272727272727
89,0.0,0.19382022471910113
90,0.25,0.19444444444444445
91,0.0,0.19230769230769232
92,0.25,0.19293478260869565
93,0.25,0.1935483870967742
94,0.25,0.19414893617021275
95,0.25,0.19473684210526315
96,0.25,0.1953125
97,0.25,0.1958762886597938
98,0.125,0.1951530612244898
99,0.25,0.19570707070707072
100,0.25,0.19625
101,0.25,0.1967821782178218
102,0.25,0.19730392156862744
103,0.25,0.19781553398058252
104,0.25,0.19831730769230768
105,0.125,0.1976190476190476
106,0.0,0.1957547169811321
107,0.0,0.1939252336448598
108,0.25,0.19444444444444445
109,0.25,0.19495412844036697
110,0.25,0.19545454545454546
111,0.25,0.19594594594594594
112,0.25,0.19642857142857142
113,0.0,0.19469026548672566
114,0.125,0.19407894736842105
115,0.25,0.19456521739130433
116,0.25,0.19504310344827586
117,0.25,0.1955128205128205
118,0.25,0.19597457627118645
119,0.0,0.19432773109243698
120,0.25,0.19479166666666667
121,0.25,0.1952479338842975
122,0.25,0.19569672131147542
123,0.25,0.19613821138211382
124,0.125,0.19556451612903225
125,0.25,0.196
126,0.25,0.19642857142857142
127,0.125,0.19586614173228348
128,0.25,0.1962890625
129,0.25,0.19670542635658914
130,0.25,0.1971153846153846
131,0.25,0.19751908396946566
132,0.25,0.19791666666666666
133,0.25,0.19830827067669174
134,0.25,0.19869402985074627
135,0.25,0.19907407407407407
136,0.0,0.19761029411764705
137,0.0,0.19616788321167883
138,0.25,0.19655797101449277
139,0.0,0.19514388489208634
140,0.25,0.19553571428571428
141,0.125,0.1950354609929078
142,0.25,0.1954225352112676
143,0.375,0.19667832167832167
144,0.25,0.1970486111111111
145,0.25,0.19741379310344828
146,0.125,0.1969178082191781
147,0.25,0.19727891156462585
148,0.0,0.19594594594594594
149,0.25,0.19630872483221476
150,0.25,0.19666666666666666
151,0.25,0.19701986754966888
152,0.0,0.19572368421052633
153,0.125,0.19526143790849673
154,0.25,0.1956168831168831
155,0.125,0.19516129032258064
156,0.25,0.1955128205128205
157,0.25,0.19585987261146498
158,0.25,0.1962025316455696
159,0.25,0.19654088050314467
160,0.375,0.19765625
161,0.25,0.19798136645962733
162,0.25,0.19830246913580246
163,0.25,0.19861963190184048
164,0.25,0.1989329268292683
165,0.25,0.19924242424242425
166,0.125,0.19879518072289157
167,0.25,0.19910179640718562
168,0.25,0.19940476190476192
169,0.25,0.1997041420118343
170,0.25,0.2
171,0.25,0.20029239766081872
172,0.625,0.20276162790697674
173,0.25,0.20303468208092484
174,0.0,0.20186781609195403
175,0.25,0.20214285714285715
176,0.25,0.20241477272727273
177,0.25,0.20268361581920905
178,0.125,0.20224719101123595
179,0.25,0.20251396648044692
180,0.25,0.20277777777777778
181,0.25,0.20303867403314918
182,0.125,0.2026098901098901
183,0.25,0.2028688524590164
184,0.0,0.20176630434782608
185,0.25,0.20202702702702702
186,0.25,0.20228494623655913
187,0.25,0.20254010695187166
188,0.25,0.20279255319148937
189,0.25,0.20304232804232805
190,0.25,0.20328947368421052
191,0.25,0.20353403141361257
192,0.0,0.20247395833333334
193,0.25,0.202720207253886
194,0.125,0.20231958762886598
195,0.25,0.20256410256410257
196,0.25,0.20280612244897958
197,0.375,0.2036802030456853
198,0.25,0.2039141414141414
199,0.25,0.2041457286432161
200,0.25,0.204375
201,0.25,0.204375
202,0.25,0.204375
203,0.0,0.203125
204,0.125,0.20375
205,0.25,0.20375
206,0.25,0.205
207,0.125,0.205625
208,0.25,0.205625
209,0.0,0.204375
210,0.0,0.203125
211,0.625,0.205
212,0.25,0.205
213,0.25,0.205
214,0.25,0.205
215,0.25,0.205
216,0.25,0.205
217,0.25,0.205
218,0.125,0.204375
219,0.25,0.204375
220,0.125,0.204375
221,0.125,0.205
222,0.0,0.20375
223,0.25,0.204375
224,0.25,0.205
225,0.0,0.20375
226,0.125,0.20375
227,0.25,0.20375
228,0.125,0.204375
229,0.25,0.204375
230,0.25,0.204375
231,0.25,0.204375
232,0.25,0.205
233,0.25,0.205
234,0.25,0.205
235,0.125,0.204375
236,0.0,0.203125
237,0.25,0.204375
238,0.25,0.204375
239,0.25,0.205625
240,0.25,0.205625
241,0.25,0.205625
242,0.25,0.20625
243,0.25,0.206875
244,0.25,0.206875
245,0.0,0.205625
246,0.25,0.205625
247,0.25,0.205625
248,0.25,0.205625
249,0.25,0.205625
250,0.25,0.205625
251,0.375,0.20625
252,0.25,0.20625
253,0.25,0.20625
254,0.25,0.20625
255,0.0,0.20625
256,0.125,0.206875
257,0.0,0.20625
258,0.125,0.206875
259,0.125,0.206875
260,0.25,0.206875
261,0.25,0.206875
262,0.375,0.20875
263,0.0,0.20875
264,0.0,0.2075
265,0.25,0.206875
266,0.125,0.20625
267,0.0,0.20625
268,0.25,0.20625
269,0.0,0.205
270,0.25,0.205
271,0.25,0.20625
272,0.375,0.208125
273,0.25,0.208125
274,0.25,0.2075
275,0.25,0.2075
276,0.25,0.2075
277,0.25,0.2075
278,0.125,0.206875
279,0.25,0.206875
280,0.25,0.206875
281,0.25,0.206875
282,0.25,0.206875
283,0.25,0.208125
284,0.25,0.208125
285,0.25,0.2075
286,0.375,0.20875
287,0.25,0.208125
288,0.25,0.208125
289,0.25,0.209375
290,0.25,0.209375
291,0.125,0.21
292,0.25,0.21
293,0.125,0.209375
294,0.25,0.209375
295,0.25,0.209375
296,0.25,0.209375
297,0.25,0.209375
298,0.25,0.21
299,0.25,0.21
300,0.25,0.21
301,0.25,0.21
302,0.125,0.209375
303,0.125,0.20875
304,0.125,0.208125
305,0.25,0.20875
306,0.25,0.21
307,0.25,0.21125
308,0.0,0.21
309,0.25,0.21
310,0.25,0.21
311,0.25,0.21
312,0.25,0.21
313,0.0,0.21
314,0.375,0.21125
315,0.25,0.21125
316,0.25,0.21125
317,0.25,0.21125
318,0.25,0.21125
319,0.25,0.2125
320,0.25,0.2125
321,0.25,0.2125
322,0.25,0.2125
323,0.0,0.21125
324,0.25,0.211875
325,0.25,0.211875
326,0.25,0.211875
327,0.0,0.21125
328,0.25,0.21125
329,0.25,0.21125
330,0.25,0.21125
331,0.25,0.21125
332,0.25,0.21125
333,0.25,0.21125
334,0.125,0.210625
335,0.25,0.210625
336,0.125,0.21125
337,0.25,0.2125
338,0.25,0.2125
339,0.375,0.214375
340,0.0,0.213125
341,0.25,0.21375
342,0.25,0.21375
343,0.25,0.213125
344,0.25,0.213125
345,0.125,0.2125
