company_code,category,retained_match_count,mean_retained_similarity,retained_category_zscore,sensitivity_rank
600570.SH,人工智能基础,0,0.0,-1.029911,4
600570.SH,大模型与语言技术,0,0.0,-3.558697,6
600570.SH,工程与基础设施,2,0.5291535,0.386037,2
600570.SH,数据与安全,6,0.470427,-1.219121,5
600570.SH,视觉与智能决策,1,0.422437,0.41847,1
600570.SH,金融业务场景,39,0.4918182307692307,-0.529764,3
300033.SZ,人工智能基础,0,0.0,-1.029911,6
300033.SZ,大模型与语言技术,2,0.4813855,0.155119,5
300033.SZ,工程与基础设施,4,0.520265,0.320256,3
300033.SZ,数据与安全,22,0.5520675,1.591974,1
300033.SZ,视觉与智能决策,1,0.427653,0.440344,2
300033.SZ,金融业务场景,19,0.5092674210526316,0.182457,4
300059.SZ,人工智能基础,0,0.0,-1.029911,5
300059.SZ,大模型与语言技术,2,0.4601275,-0.008883,4
300059.SZ,工程与基础设施,3,0.5276463333333333,0.374883,3
300059.SZ,数据与安全,13,0.5234153076923077,0.605404,2
300059.SZ,视觉与智能决策,0,0.0,-1.353048,6
300059.SZ,金融业务场景,30,0.5236577,0.769824,1
600446.SH,人工智能基础,1,0.575102,1.051643,1
600446.SH,大模型与语言技术,4,0.51484375,0.413244,4
600446.SH,工程与基础设施,4,0.51303775,0.266769,5
600446.SH,数据与安全,10,0.5199094,0.484687,3
600446.SH,视觉与智能决策,0,0.0,-1.353048,6
600446.SH,金融业务场景,29,0.5269465172413793,0.904063,2
300377.SZ,人工智能基础,0,0.0,-1.029911,5
300377.SZ,大模型与语言技术,4,0.4856125,0.18773,2
300377.SZ,工程与基础设施,0,0.0,-3.530084,6
300377.SZ,数据与安全,10,0.4875328,-0.630124,3
300377.SZ,视觉与智能决策,1,0.498984,0.739475,1
300377.SZ,金融业务场景,33,0.4835299393939394,-0.868066,4
300674.SZ,人工智能基础,3,0.553773,0.974444,1
300674.SZ,大模型与语言技术,4,0.4946485,0.257441,5
300674.SZ,工程与基础设施,5,0.5351598,0.430488,3
300674.SZ,数据与安全,8,0.518275875,0.42844,4
300674.SZ,视觉与智能决策,0,0.0,-1.353048,6
300674.SZ,金融业务场景,28,0.518483,0.558609,2
000555.SZ,人工智能基础,0,0.0,-1.029911,5
000555.SZ,大模型与语言技术,3,0.544393,0.641212,4
000555.SZ,工程与基础设施,5,0.5842712,0.793948,3
000555.SZ,数据与安全,19,0.5447484210526315,1.339959,2
000555.SZ,视觉与智能决策,0,0.0,-1.353048,6
000555.SZ,金融业务场景,21,0.5620345714285714,2.336248,1
300348.SZ,人工智能基础,6,0.48349133333333333,0.720063,1
300348.SZ,大模型与语言技术,5,0.4722752,0.084834,3
300348.SZ,工程与基础设施,2,0.4898395,0.095085,2
300348.SZ,数据与安全,8,0.462566875,-1.489766,6
300348.SZ,视觉与智能决策,0,0.0,-1.353048,5
300348.SZ,金融业务场景,27,0.4838784444444444,-0.853842,4
300872.SZ,人工智能基础,1,0.524751,0.8694,1
300872.SZ,大模型与语言技术,2,0.485408,0.186152,3
300872.SZ,工程与基础设施,5,0.4976908,0.15319,4
300872.SZ,数据与安全,10,0.48059399999999997,-0.869045,6
300872.SZ,视觉与智能决策,3,0.48141100000000003,0.665782,2
300872.SZ,金融业务场景,27,0.5033515185185186,-0.059011,5
300663.SZ,人工智能基础,0,0.0,-1.029911,6
300663.SZ,大模型与语言技术,3,0.50453,0.333675,3
300663.SZ,工程与基础设施,3,0.45999033333333333,-0.125821,4
300663.SZ,数据与安全,10,0.5193283,0.464678,2
300663.SZ,视觉与智能决策,4,0.527576,0.859378,1
300663.SZ,金融业务场景,28,0.4937633214285714,-0.450372,5
002987.SZ,人工智能基础,2,0.546696,0.948829,2
002987.SZ,大模型与语言技术,3,0.4906966666666667,0.226953,6
002987.SZ,工程与基础设施,5,0.5268678,0.369121,5
002987.SZ,数据与安全,17,0.5339556470588236,0.968336,1
002987.SZ,视觉与智能决策,1,0.448146,0.526282,3
002987.SZ,金融业务场景,20,0.5149421000000001,0.41408,4
603927.SH,人工智能基础,1,0.546036,0.94644,1
603927.SH,大模型与语言技术,3,0.5107076666666667,0.381335,5
603927.SH,工程与基础设施,3,0.5058779999999999,0.213781,6
603927.SH,数据与安全,8,0.52763625,0.750743,4
603927.SH,视觉与智能决策,3,0.527419,0.858719,2
603927.SH,金融业务场景,30,0.5253751333333333,0.839924,3
688590.SH,人工智能基础,0,0.0,-1.029911,6
688590.SH,大模型与语言技术,2,0.4572345,-0.031202,3
688590.SH,工程与基础设施,4,0.49770925,0.153327,2
688590.SH,数据与安全,13,0.4961436153846154,-0.333631,4
688590.SH,视觉与智能决策,3,0.5030546666666666,0.756546,1
688590.SH,金融业务场景,26,0.49127738461538467,-0.55184,5
002230.SZ,人工智能基础,10,0.5033729,0.792023,1
002230.SZ,大模型与语言技术,10,0.5177163,0.435406,3
002230.SZ,工程与基础设施,3,0.48645166666666667,0.070012,4
002230.SZ,数据与安全,7,0.47742757142857145,-0.978073,5
002230.SZ,视觉与智能决策,2,0.4692815,0.614916,2
002230.SZ,金融业务场景,16,0.4736643125,-1.270751,6
300229.SZ,人工智能基础,5,0.5350118,0.906538,1
300229.SZ,大模型与语言技术,8,0.49960525,0.295682,3
300229.SZ,工程与基础设施,7,0.48091085714285714,0.029006,4
300229.SZ,数据与安全,7,0.4734665714285714,-1.114461,5
300229.SZ,视觉与智能决策,3,0.5337646666666667,0.88533,2
300229.SZ,金融业务场景,18,0.4699695555555556,-1.421559,6
